membrane_orthogroup	pseudo_tmd_index	species_total	species_with_feature	presence_fraction	median_distance_start	mean_distance_start	sd_distance_start	variance_distance_start
orthogroup_1651	8	10	0	0.000000				
orthogroup_1651	9	10	0	0.000000				
orthogroup_1651	10	10	0	0.000000				
orthogroup_1651	11	10	0	0.000000				
orthogroup_1651	12	10	0	0.000000				
orthogroup_1651	13	10	0	0.000000				
orthogroup_1651	14	10	0	0.000000				
orthogroup_1651	15	10	0	0.000000				
orthogroup_1651	16	10	0	0.000000				
orthogroup_1663	1	9	1	0.111111	20.000000	20.000000		
orthogroup_1663	2	9	2	0.222222	-9.500000	-9.500000	7.778175	60.500000
orthogroup_1663	3	9	1	0.111111	7.500000	7.500000		
orthogroup_1663	4	9	0	0.000000				
orthogroup_1663	5	9	3	0.333333	-6.000000	-8.333333	4.932883	24.333333
orthogroup_1663	6	9	0	0.000000				
orthogroup_1663	7	9	0	0.000000				
orthogroup_1663	8	9	0	0.000000				
orthogroup_1663	9	9	0	0.000000				
orthogroup_1663	10	9	0	0.000000				
orthogroup_1663	11	9	0	0.000000				
orthogroup_1663	12	9	3	0.333333	1.000000	3.333333	4.041452	16.333333
orthogroup_1663	13	9	0	0.000000				
orthogroup_1685	1	10	1	0.100000	-1.000000	-1.000000		
orthogroup_1685	2	10	0	0.000000				
orthogroup_1685	3	10	0	0.000000				
orthogroup_1685	4	10	0	0.000000				
orthogroup_1685	5	10	1	0.100000	-5.000000	-5.000000		
orthogroup_1685	6	10	0	0.000000				
orthogroup_1685	7	10	1	0.100000	7.500000	7.500000		
orthogroup_1685	8	10	0	0.000000				
orthogroup_1685	9	10	3	0.300000	0.000000	0.166667	0.288675	0.083333
orthogroup_1687	1	8	0	0.000000				
orthogroup_1687	2	8	0	0.000000				
orthogroup_1687	3	8	0	0.000000				
orthogroup_1687	4	8	0	0.000000				
orthogroup_1687	5	8	0	0.000000				
orthogroup_1687	6	8	0	0.000000				
orthogroup_1687	7	8	0	0.000000				
orthogroup_1687	8	8	0	0.000000				
orthogroup_1687	9	8	0	0.000000				
orthogroup_1687	10	8	0	0.000000				
orthogroup_1689	1	10	2	0.200000	7.000000	7.000000	15.556349	242.000000
orthogroup_1689	2	10	0	0.000000				
orthogroup_1689	3	10	0	0.000000				
orthogroup_1689	4	10	1	0.100000	10.000000	10.000000		
orthogroup_1689	5	10	1	0.100000	-1.000000	-1.000000		
orthogroup_1689	6	10	2	0.200000	-1.500000	-1.500000	17.677670	312.500000
orthogroup_1689	7	10	1	0.100000	-5.500000	-5.500000		
orthogroup_1689	8	10	0	0.000000				
orthogroup_1696	1	9	0	0.000000				
orthogroup_1696	2	9	0	0.000000				
orthogroup_1696	3	9	0	0.000000				
orthogroup_1696	4	9	0	0.000000				
orthogroup_1696	5	9	0	0.000000				
orthogroup_1696	6	9	0	0.000000				
orthogroup_1696	7	9	0	0.000000				
orthogroup_1696	8	9	0	0.000000				
orthogroup_1696	9	9	0	0.000000				
orthogroup_1696	10	9	0	0.000000				
orthogroup_1701	1	9	0	0.000000				
orthogroup_1701	2	9	0	0.000000				
orthogroup_1701	3	9	0	0.000000				
orthogroup_1701	4	9	1	0.111111	28.000000	28.000000		
orthogroup_1723	1	10	1	0.100000	-67.500000	-67.500000		
orthogroup_1723	2	10	0	0.000000				
orthogroup_1723	3	10	0	0.000000				
orthogroup_1723	4	10	0	0.000000				
orthogroup_1723	5	10	2	0.200000	23.000000	23.000000	16.970563	288.000000
orthogroup_1733	1	9	0	0.000000				
orthogroup_1733	2	9	1	0.111111	-117.000000	-117.000000		
orthogroup_1733	3	9	1	0.111111	4.000000	4.000000		
orthogroup_1733	4	9	1	0.111111	8.000000	8.000000		
orthogroup_1733	5	9	1	0.111111	-22.000000	-22.000000		
orthogroup_1733	6	9	1	0.111111	4.000000	4.000000		
orthogroup_1733	7	9	4	0.444444	115.500000	123.000000	56.762664	3222.000000
orthogroup_1733	8	9	0	0.000000				
orthogroup_1733	9	9	1	0.111111	7.000000	7.000000		
orthogroup_1733	10	9	1	0.111111	2.000000	2.000000		
orthogroup_1733	11	9	0	0.000000				
orthogroup_1733	12	9	0	0.000000				
orthogroup_174	1	9	0	0.000000				
orthogroup_174	2	9	0	0.000000				
orthogroup_174	3	9	0	0.000000				
orthogroup_174	4	9	0	0.000000				
orthogroup_174	5	9	0	0.000000				
orthogroup_174	6	9	0	0.000000				
orthogroup_1742	1	9	0	0.000000				
orthogroup_1742	2	9	1	0.111111	54.000000	54.000000		
orthogroup_1742	3	9	0	0.000000				
orthogroup_1742	4	9	0	0.000000				
orthogroup_1769	1	9	0	0.000000				
orthogroup_1769	2	9	0	0.000000				
orthogroup_1769	3	9	0	0.000000				
orthogroup_1769	4	9	0	0.000000				
orthogroup_1769	5	9	0	0.000000				
orthogroup_1769	6	9	1	0.111111	4.000000	4.000000		
orthogroup_1769	7	9	0	0.000000				
orthogroup_1769	8	9	0	0.000000				
orthogroup_1769	9	9	0	0.000000				
orthogroup_1769	10	9	0	0.000000				
orthogroup_1769	11	9	0	0.000000				
orthogroup_1769	12	9	0	0.000000				
orthogroup_1773	1	8	0	0.000000				
orthogroup_1773	2	8	0	0.000000				
orthogroup_1773	3	8	0	0.000000				
orthogroup_1773	4	8	0	0.000000				
orthogroup_1773	5	8	0	0.000000				
orthogroup_1773	6	8	5	0.625000	28.000000	23.800000	8.843076	78.200000
orthogroup_178	1	10	5	0.500000	-5.500000	-9.300000	8.779237	77.075000
orthogroup_178	2	10	0	0.000000				
orthogroup_178	3	10	1	0.100000	8.000000	8.000000		
orthogroup_178	4	10	0	0.000000				
orthogroup_178	5	10	0	0.000000				
orthogroup_178	6	10	0	0.000000				
orthogroup_178	7	10	0	0.000000				
orthogroup_178	8	10	0	0.000000				
orthogroup_178	9	10	0	0.000000				
orthogroup_178	10	10	0	0.000000				
orthogroup_178	11	10	0	0.000000				
orthogroup_178	12	10	1	0.100000	-4.000000	-4.000000		
orthogroup_1783	1	8	0	0.000000				
orthogroup_1783	2	8	0	0.000000				
orthogroup_1783	3	8	0	0.000000				
orthogroup_1783	4	8	0	0.000000				
orthogroup_1783	5	8	0	0.000000				
orthogroup_1783	6	8	0	0.000000				
orthogroup_1819	1	8	1	0.125000	23.000000	23.000000		
orthogroup_1819	2	8	0	0.000000				
orthogroup_1819	3	8	0	0.000000				
orthogroup_1819	4	8	1	0.125000	-26.000000	-26.000000		
orthogroup_1819	5	8	0	0.000000				
orthogroup_1819	6	8	0	0.000000				
orthogroup_1819	7	8	0	0.000000				
orthogroup_1819	8	8	1	0.125000	-14.000000	-14.000000		
orthogroup_1819	9	8	0	0.000000				
orthogroup_1819	10	8	1	0.125000	5.500000	5.500000		
orthogroup_1819	11	8	2	0.250000	7.000000	7.000000	0.000000	0.000000
orthogroup_1819	12	8	1	0.125000	2.000000	2.000000		
orthogroup_1819	13	8	0	0.000000				
orthogroup_1826	1	8	2	0.250000	-21.000000	-21.000000	33.941125	1152.000000
orthogroup_1826	2	8	0	0.000000				
orthogroup_1826	3	8	0	0.000000				
orthogroup_1826	4	8	0	0.000000				
orthogroup_1826	5	8	0	0.000000				
orthogroup_1826	6	8	0	0.000000				
orthogroup_1826	7	8	0	0.000000				
orthogroup_1826	8	8	0	0.000000				
orthogroup_1826	9	8	0	0.000000				
orthogroup_1826	10	8	0	0.000000				
orthogroup_1826	11	8	0	0.000000				
orthogroup_1826	12	8	0	0.000000				
orthogroup_1830	1	9	0	0.000000				
orthogroup_1830	2	9	0	0.000000				
orthogroup_1830	3	9	0	0.000000				
orthogroup_1830	4	9	0	0.000000				
orthogroup_1830	5	9	0	0.000000				
orthogroup_1830	6	9	0	0.000000				
orthogroup_1830	7	9	0	0.000000				
orthogroup_1830	8	9	0	0.000000				
orthogroup_1830	9	9	0	0.000000				
orthogroup_1830	10	9	0	0.000000				
orthogroup_1830	11	9	0	0.000000				
orthogroup_1830	12	9	0	0.000000				
orthogroup_1830	13	9	0	0.000000				
orthogroup_1830	14	9	0	0.000000				
orthogroup_1830	15	9	0	0.000000				
orthogroup_188	1	8	1	0.125000	-14.000000	-14.000000		
orthogroup_188	2	8	0	0.000000				
orthogroup_188	3	8	0	0.000000				
orthogroup_188	4	8	0	0.000000				
orthogroup_188	5	8	1	0.125000	-9.000000	-9.000000		
orthogroup_188	6	8	0	0.000000				
orthogroup_188	7	8	0	0.000000				
orthogroup_195	1	8	0	0.000000				
orthogroup_195	2	8	0	0.000000				
orthogroup_195	3	8	1	0.125000	0.000000	0.000000		
orthogroup_195	4	8	0	0.000000				
orthogroup_195	5	8	0	0.000000				
orthogroup_195	6	8	0	0.000000				
orthogroup_195	7	8	0	0.000000				
orthogroup_195	8	8	0	0.000000				
orthogroup_195	9	8	0	0.000000				
orthogroup_195	10	8	0	0.000000				
orthogroup_195	11	8	0	0.000000				
orthogroup_195	12	8	1	0.125000	24.500000	24.500000		
orthogroup_2	1	9	2	0.222222	19.000000	19.000000	0.000000	0.000000
orthogroup_2	2	9	0	0.000000				
orthogroup_2	3	9	1	0.111111	-28.000000	-28.000000		
orthogroup_203	1	10	1	0.100000	-2.000000	-2.000000		
orthogroup_203	2	10	0	0.000000				
orthogroup_203	3	10	0	0.000000				
orthogroup_203	4	10	0	0.000000				
orthogroup_203	5	10	0	0.000000				
orthogroup_203	6	10	2	0.200000	-6.500000	-6.500000	4.949747	24.500000
orthogroup_203	7	10	0	0.000000				
orthogroup_203	8	10	0	0.000000				
orthogroup_203	9	10	0	0.000000				
orthogroup_203	10	10	0	0.000000				
orthogroup_203	11	10	0	0.000000				
orthogroup_203	12	10	0	0.000000				
orthogroup_203	13	10	0	0.000000				
orthogroup_204	1	8	1	0.125000	-81.000000	-81.000000		
orthogroup_204	2	8	0	0.000000				
orthogroup_204	3	8	0	0.000000				
orthogroup_204	4	8	0	0.000000				
orthogroup_204	5	8	0	0.000000				
orthogroup_204	6	8	0	0.000000				
orthogroup_204	7	8	0	0.000000				
orthogroup_204	8	8	0	0.000000				
orthogroup_210	1	9	0	0.000000				
orthogroup_210	2	9	0	0.000000				
orthogroup_210	3	9	0	0.000000				
orthogroup_210	4	9	0	0.000000				
orthogroup_210	5	9	0	0.000000				
orthogroup_210	6	9	0	0.000000				
orthogroup_22	1	8	2	0.250000	-60.500000	-60.500000	3.535534	12.500000
orthogroup_22	2	8	0	0.000000				
orthogroup_22	3	8	1	0.125000	-1.000000	-1.000000		
orthogroup_22	4	8	0	0.000000				
orthogroup_22	5	8	0	0.000000				
orthogroup_22	6	8	2	0.250000	22.250000	22.250000	0.353553	0.125000
orthogroup_23	1	8	1	0.125000	42.000000	42.000000		
orthogroup_23	2	8	2	0.250000	-26.250000	-26.250000	1.060660	1.125000
orthogroup_23	3	8	0	0.000000				
orthogroup_23	4	8	2	0.250000	35.250000	35.250000	10.253048	105.125000
orthogroup_23	6	8	4	0.500000	17.000000	14.500000	8.660254	75.000000
orthogroup_231	1	8	1	0.125000	10.000000	10.000000		
orthogroup_231	2	8	1	0.125000	22.000000	22.000000		
orthogroup_231	3	8	1	0.125000	14.000000	14.000000		
orthogroup_231	4	8	0	0.000000				
orthogroup_233	1	9	0	0.000000				
orthogroup_233	2	9	0	0.000000				
orthogroup_233	3	9	4	0.444444	0.000000	0.000000	0.000000	0.000000
orthogroup_233	4	9	0	0.000000				
orthogroup_233	5	9	0	0.000000				
orthogroup_233	6	9	0	0.000000				
orthogroup_233	7	9	0	0.000000				
orthogroup_233	8	9	2	0.222222	-1.250000	-1.250000	0.353553	0.125000
orthogroup_233	9	9	0	0.000000				
orthogroup_233	10	9	0	0.000000				
orthogroup_233	11	9	3	0.333333	10.000000	10.000000	0.000000	0.000000
orthogroup_233	12	9	0	0.000000				
orthogroup_244	1	9	2	0.222222	8.250000	8.250000	9.545942	91.125000
orthogroup_244	2	9	0	0.000000				
orthogroup_244	3	9	0	0.000000				
orthogroup_244	4	9	2	0.222222	12.500000	12.500000	2.121320	4.500000
orthogroup_244	5	9	1	0.111111	-1.000000	-1.000000		
orthogroup_244	6	9	0	0.000000				
orthogroup_244	7	9	0	0.000000				
orthogroup_244	8	9	0	0.000000				
orthogroup_244	9	9	0	0.000000				
orthogroup_244	10	9	0	0.000000				
orthogroup_244	11	9	1	0.111111	-6.000000	-6.000000		
orthogroup_244	12	9	2	0.222222	11.500000	11.500000	19.091883	364.500000
orthogroup_25	1	9	0	0.000000				
orthogroup_25	2	9	0	0.000000				
orthogroup_25	3	9	0	0.000000				
orthogroup_25	4	9	1	0.111111	22.000000	22.000000		
orthogroup_25	5	9	0	0.000000				
orthogroup_272	1	9	0	0.000000				
orthogroup_272	2	9	1	0.111111	26.000000	26.000000		
orthogroup_272	3	9	0	0.000000				
orthogroup_277	1	8	0	0.000000				
orthogroup_277	2	8	0	0.000000				
orthogroup_277	3	8	0	0.000000				
orthogroup_277	4	8	0	0.000000				
orthogroup_277	5	8	0	0.000000				
orthogroup_277	6	8	1	0.125000	-7.000000	-7.000000		
orthogroup_277	7	8	0	0.000000				
orthogroup_277	8	8	0	0.000000				
orthogroup_277	9	8	0	0.000000				
orthogroup_277	10	8	1	0.125000	-14.000000	-14.000000		
orthogroup_277	11	8	0	0.000000				
orthogroup_277	12	8	0	0.000000				
orthogroup_277	13	8	0	0.000000				
orthogroup_277	14	8	0	0.000000				
orthogroup_279	1	9	0	0.000000				
orthogroup_279	2	9	0	0.000000				
orthogroup_279	3	9	0	0.000000				
orthogroup_279	4	9	0	0.000000				
orthogroup_279	5	9	0	0.000000				
orthogroup_279	6	9	0	0.000000				
orthogroup_279	7	9	1	0.111111	-14.000000	-14.000000		
orthogroup_279	8	9	0	0.000000				
orthogroup_279	9	9	0	0.000000				
orthogroup_279	10	9	0	0.000000				
orthogroup_283	1	8	2	0.250000	-8.000000	-8.000000	22.627417	512.000000
orthogroup_283	2	8	0	0.000000				
orthogroup_283	3	8	0	0.000000				
orthogroup_283	4	8	0	0.000000				
orthogroup_283	5	8	0	0.000000				
orthogroup_283	6	8	0	0.000000				
orthogroup_283	7	8	0	0.000000				
orthogroup_283	8	8	0	0.000000				
orthogroup_283	9	8	0	0.000000				
orthogroup_283	10	8	1	0.125000	-18.000000	-18.000000		
orthogroup_284	1	9	0	0.000000				
orthogroup_284	2	9	1	0.111111	7.000000	7.000000		
orthogroup_284	3	9	1	0.111111	-12.000000	-12.000000		
orthogroup_284	4	9	3	0.333333	-14.000000	-16.333333	21.594752	466.333333
orthogroup_284	5	9	0	0.000000				
orthogroup_284	6	9	1	0.111111	-7.000000	-7.000000		
orthogroup_284	7	9	0	0.000000				
orthogroup_284	8	9	0	0.000000				
orthogroup_284	9	9	0	0.000000				
orthogroup_284	10	9	1	0.111111	5.500000	5.500000		
orthogroup_300	1	8	0	0.000000				
orthogroup_300	2	8	0	0.000000				
orthogroup_300	3	8	3	0.375000	11.000000	4.666667	10.969655	120.333333
orthogroup_300	4	8	0	0.000000				
orthogroup_300	5	8	0	0.000000				
orthogroup_300	6	8	0	0.000000				
orthogroup_300	7	8	0	0.000000				
orthogroup_300	8	8	1	0.125000	-15.000000	-15.000000		
orthogroup_300	9	8	0	0.000000				
orthogroup_300	10	8	4	0.500000	23.250000	16.125000	14.755649	217.729167
orthogroup_303	1	9	1	0.111111	-9.000000	-9.000000		
orthogroup_303	2	9	0	0.000000				
orthogroup_303	3	9	1	0.111111	8.000000	8.000000		
orthogroup_303	4	9	0	0.000000				
orthogroup_303	5	9	0	0.000000				
orthogroup_303	6	9	0	0.000000				
orthogroup_303	7	9	0	0.000000				
orthogroup_303	8	9	2	0.222222	40.000000	40.000000	0.000000	0.000000
orthogroup_303	9	9	0	0.000000				
orthogroup_303	10	9	0	0.000000				
orthogroup_303	11	9	0	0.000000				
orthogroup_322	1	8	0	0.000000				
orthogroup_322	2	8	0	0.000000				
orthogroup_322	3	8	0	0.000000				
orthogroup_322	4	8	0	0.000000				
orthogroup_322	5	8	1	0.125000	-2.000000	-2.000000		
orthogroup_322	6	8	2	0.250000	36.000000	36.000000	26.870058	722.000000
orthogroup_329	1	9	1	0.111111	-15.000000	-15.000000		
orthogroup_329	2	9	2	0.222222	5.000000	5.000000	0.000000	0.000000
orthogroup_329	3	9	0	0.000000				
orthogroup_329	4	9	0	0.000000				
orthogroup_329	5	9	0	0.000000				
orthogroup_329	6	9	0	0.000000				
orthogroup_329	7	9	0	0.000000				
orthogroup_329	8	9	0	0.000000				
orthogroup_329	9	9	1	0.111111	-6.000000	-6.000000		
orthogroup_329	10	9	0	0.000000				
orthogroup_329	11	9	0	0.000000				
orthogroup_329	12	9	2	0.222222	170.750000	170.750000	18.031223	325.125000
orthogroup_33	1	8	0	0.000000				
orthogroup_33	2	8	0	0.000000				
orthogroup_33	3	8	0	0.000000				
orthogroup_331	1	8	1	0.125000	-6.000000	-6.000000		
orthogroup_331	2	8	0	0.000000				
orthogroup_331	3	8	1	0.125000	-17.000000	-17.000000		
orthogroup_331	4	8	2	0.250000	4.000000	4.000000	0.000000	0.000000
orthogroup_331	5	8	1	0.125000	26.000000	26.000000		
orthogroup_334	1	9	0	0.000000				
orthogroup_334	2	9	0	0.000000				
orthogroup_334	3	9	3	0.333333	17.000000	12.333333	8.082904	65.333333
orthogroup_334	4	9	0	0.000000				
orthogroup_334	5	9	1	0.111111	-10.000000	-10.000000		
orthogroup_334	6	9	0	0.000000				
orthogroup_334	7	9	0	0.000000				
orthogroup_334	8	9	0	0.000000				
orthogroup_334	9	9	0	0.000000				
orthogroup_334	10	9	2	0.222222	46.000000	46.000000	5.656854	32.000000
orthogroup_335	2	9	1	0.111111	-40.000000	-40.000000		
orthogroup_335	3	9	1	0.111111	-12.000000	-12.000000		
orthogroup_335	4	9	0	0.000000				
orthogroup_335	5	9	2	0.222222	-3.500000	-3.500000	1.414214	2.000000
orthogroup_338	1	10	1	0.100000	-27.500000	-27.500000		
orthogroup_338	2	10	0	0.000000				
orthogroup_338	3	10	0	0.000000				
orthogroup_338	4	10	0	0.000000				
orthogroup_338	5	10	2	0.200000	3.250000	3.250000	1.060660	1.125000
orthogroup_346	1	9	1	0.111111	4.000000	4.000000		
orthogroup_346	2	9	0	0.000000				
orthogroup_346	3	9	0	0.000000				
orthogroup_346	4	9	0	0.000000				
orthogroup_346	5	9	4	0.444444	16.000000	16.000000	0.000000	0.000000
orthogroup_352	1	10	0	0.000000				
orthogroup_352	2	10	1	0.100000	10.500000	10.500000		
orthogroup_352	3	10	1	0.100000	36.000000	36.000000		
orthogroup_354	1	9	0	0.000000				
orthogroup_354	2	9	1	0.111111	22.000000	22.000000		
orthogroup_354	3	9	1	0.111111	-3.000000	-3.000000		
orthogroup_354	4	9	0	0.000000				
orthogroup_354	5	9	1	0.111111	5.000000	5.000000		
orthogroup_354	6	9	0	0.000000				
orthogroup_354	7	9	0	0.000000				
orthogroup_354	8	9	0	0.000000				
orthogroup_354	9	9	0	0.000000				
orthogroup_354	10	9	1	0.111111	0.500000	0.500000		
orthogroup_354	11	9	2	0.222222	12.000000	12.000000	0.000000	0.000000
orthogroup_36	1	8	0	0.000000				
orthogroup_36	2	8	0	0.000000				
orthogroup_36	3	8	0	0.000000				
orthogroup_36	4	8	7	0.875000	-19.000000	-19.000000	0.000000	0.000000
orthogroup_36	5	8	0	0.000000				
orthogroup_371	1	9	0	0.000000				
orthogroup_371	2	9	0	0.000000				
orthogroup_371	3	9	0	0.000000				
orthogroup_371	4	9	3	0.333333	-12.500000	-9.666667	4.907477	24.083333
orthogroup_378	1	8	0	0.000000				
orthogroup_378	2	8	0	0.000000				
orthogroup_378	3	8	1	0.125000	-7.000000	-7.000000		
orthogroup_378	4	8	0	0.000000				
orthogroup_378	5	8	2	0.250000	-7.250000	-7.250000	0.353553	0.125000
orthogroup_378	6	8	0	0.000000				
orthogroup_378	7	8	0	0.000000				
orthogroup_378	8	8	0	0.000000				
orthogroup_378	9	8	1	0.125000	6.000000	6.000000		
orthogroup_378	10	8	0	0.000000				
orthogroup_378	11	8	0	0.000000				
orthogroup_378	12	8	0	0.000000				
orthogroup_385	1	8	0	0.000000				
orthogroup_385	2	8	0	0.000000				
orthogroup_385	3	8	1	0.125000	-9.000000	-9.000000		
orthogroup_385	4	8	0	0.000000				
orthogroup_385	5	8	1	0.125000	2.000000	2.000000		
orthogroup_385	6	8	0	0.000000				
orthogroup_385	7	8	0	0.000000				
orthogroup_385	8	8	0	0.000000				
orthogroup_385	9	8	1	0.125000	-5.000000	-5.000000		
orthogroup_385	10	8	0	0.000000				
orthogroup_390	1	9	0	0.000000				
orthogroup_390	2	9	0	0.000000				
orthogroup_390	3	9	0	0.000000				
orthogroup_390	4	9	0	0.000000				
orthogroup_390	5	9	0	0.000000				
orthogroup_390	6	9	1	0.111111	-4.000000	-4.000000		
orthogroup_390	7	9	0	0.000000				
orthogroup_390	8	9	0	0.000000				
orthogroup_390	9	9	0	0.000000				
orthogroup_390	10	9	0	0.000000				
orthogroup_408	1	9	0	0.000000				
orthogroup_408	2	9	2	0.222222	9.500000	9.500000	3.535534	12.500000
orthogroup_408	3	9	2	0.222222	6.000000	6.000000	0.000000	0.000000
orthogroup_408	4	9	2	0.222222	-21.000000	-21.000000	7.071068	50.000000
orthogroup_408	5	9	0	0.000000				
orthogroup_408	6	9	0	0.000000				
orthogroup_408	7	9	1	0.111111	-16.000000	-16.000000		
orthogroup_408	8	9	1	0.111111	-4.000000	-4.000000		
orthogroup_408	9	9	0	0.000000				
orthogroup_408	10	9	0	0.000000				
orthogroup_415	1	9	0	0.000000				
orthogroup_415	2	9	1	0.111111	23.000000	23.000000		
orthogroup_415	3	9	0	0.000000				
orthogroup_415	4	9	0	0.000000				
orthogroup_415	5	9	0	0.000000				
orthogroup_415	6	9	1	0.111111	19.000000	19.000000		
orthogroup_415	7	9	0	0.000000				
orthogroup_415	8	9	1	0.111111	4.000000	4.000000		
orthogroup_415	9	9	2	0.222222	7.000000	7.000000	11.313708	128.000000
orthogroup_419	2	8	4	0.500000	9.000000	9.000000	4.618802	21.333333
orthogroup_419	3	8	0	0.000000				
orthogroup_419	4	8	0	0.000000				
orthogroup_419	5	8	0	0.000000				
orthogroup_419	6	8	1	0.125000	0.000000	0.000000		
orthogroup_420	1	8	3	0.375000	5.000000	2.666667	4.041452	16.333333
orthogroup_420	2	8	1	0.125000	2.000000	2.000000		
orthogroup_420	3	8	0	0.000000				
orthogroup_420	4	8	1	0.125000	-1.000000	-1.000000		
orthogroup_420	5	8	3	0.375000	-23.000000	-23.166667	0.763763	0.583333
orthogroup_420	6	8	0	0.000000				
orthogroup_429	1	8	0	0.000000				
orthogroup_429	2	8	0	0.000000				
orthogroup_429	3	8	0	0.000000				
orthogroup_429	4	8	1	0.125000	14.000000	14.000000		
orthogroup_429	5	8	0	0.000000				
orthogroup_429	6	8	0	0.000000				
orthogroup_429	7	8	0	0.000000				
orthogroup_429	8	8	0	0.000000				
orthogroup_429	9	8	0	0.000000				
orthogroup_429	10	8	0	0.000000				
orthogroup_429	11	8	0	0.000000				
orthogroup_429	12	8	0	0.000000				
orthogroup_454	2	9	0	0.000000				
orthogroup_454	3	9	2	0.222222	11.000000	11.000000	0.000000	0.000000
orthogroup_454	4	9	2	0.222222	-1.500000	-1.500000	6.363961	40.500000
orthogroup_454	5	9	7	0.777778	-22.500000	-19.500000	7.388053	54.583333
orthogroup_454	6	9	2	0.222222	24.500000	24.500000	1.414214	2.000000
orthogroup_46	1	10	1	0.100000	-7.000000	-7.000000		
orthogroup_46	2	10	0	0.000000				
orthogroup_46	3	10	1	0.100000	21.000000	21.000000		
orthogroup_46	4	10	1	0.100000	-24.000000	-24.000000		
orthogroup_46	5	10	0	0.000000				
orthogroup_46	6	10	0	0.000000				
orthogroup_471	1	9	0	0.000000				
orthogroup_471	2	9	0	0.000000				
orthogroup_471	3	9	0	0.000000				
orthogroup_471	4	9	0	0.000000				
orthogroup_471	5	9	0	0.000000				
orthogroup_471	6	9	0	0.000000				
orthogroup_480	1	9	0	0.000000				
orthogroup_480	2	9	0	0.000000				
orthogroup_480	3	9	0	0.000000				
orthogroup_480	4	9	0	0.000000				
orthogroup_480	5	9	0	0.000000				
orthogroup_480	6	9	0	0.000000				
orthogroup_484	1	9	4	0.444444	-28.000000	-28.000000	0.816497	0.666667
orthogroup_484	2	9	0	0.000000				
orthogroup_484	3	9	1	0.111111	-1.000000	-1.000000		
orthogroup_484	4	9	2	0.222222	2.000000	2.000000	0.000000	0.000000
orthogroup_484	5	9	0	0.000000				
orthogroup_484	6	9	0	0.000000				
orthogroup_489	1	9	2	0.222222	5.000000	5.000000	0.000000	0.000000
orthogroup_489	2	9	1	0.111111	6.000000	6.000000		
orthogroup_489	3	9	0	0.000000				
orthogroup_489	4	9	0	0.000000				
orthogroup_489	5	9	0	0.000000				
orthogroup_489	6	9	2	0.222222	23.750000	23.750000	1.767767	3.125000
orthogroup_49	1	9	0	0.000000				
orthogroup_49	2	9	0	0.000000				
orthogroup_49	3	9	0	0.000000				
orthogroup_49	4	9	0	0.000000				
orthogroup_515	1	9	1	0.111111	-30.000000	-30.000000		
orthogroup_515	2	9	0	0.000000				
orthogroup_515	3	9	0	0.000000				
orthogroup_526	1	9	0	0.000000				
orthogroup_526	2	9	0	0.000000				
orthogroup_526	3	9	0	0.000000				
orthogroup_526	4	9	0	0.000000				
orthogroup_526	5	9	0	0.000000				
orthogroup_526	6	9	1	0.111111	38.000000	38.000000		
orthogroup_531	1	9	2	0.222222	-16.500000	-16.500000	0.707107	0.500000
orthogroup_531	2	9	0	0.000000				
orthogroup_531	3	9	0	0.000000				
orthogroup_531	4	9	0	0.000000				
orthogroup_531	5	9	1	0.111111	-11.000000	-11.000000		
orthogroup_531	6	9	0	0.000000				
orthogroup_531	7	9	0	0.000000				
orthogroup_531	8	9	0	0.000000				
orthogroup_531	9	9	0	0.000000				
orthogroup_531	10	9	0	0.000000				
orthogroup_531	11	9	0	0.000000				
orthogroup_531	12	9	0	0.000000				
orthogroup_531	13	9	1	0.111111	16.000000	16.000000		
orthogroup_531	14	9	0	0.000000				
orthogroup_534	1	10	0	0.000000				
orthogroup_534	2	10	0	0.000000				
orthogroup_534	3	10	0	0.000000				
orthogroup_534	4	10	0	0.000000				
orthogroup_534	5	10	2	0.200000	16.000000	16.000000	0.000000	0.000000
orthogroup_540	1	9	4	0.444444	-29.500000	-29.250000	0.957427	0.916667
orthogroup_540	2	9	0	0.000000				
orthogroup_540	3	9	0	0.000000				
orthogroup_540	4	9	0	0.000000				
orthogroup_540	5	9	1	0.111111	33.000000	33.000000		
orthogroup_540	6	9	0	0.000000				
orthogroup_547	1	10	6	0.600000	-20.000000	-16.666667	16.033299	257.066667
orthogroup_547	2	10	0	0.000000				
orthogroup_547	3	10	0	0.000000				
orthogroup_547	4	10	0	0.000000				
orthogroup_547	5	10	0	0.000000				
orthogroup_547	6	10	1	0.100000	-8.000000	-8.000000		
orthogroup_548	1	9	1	0.111111	23.000000	23.000000		
orthogroup_548	2	9	5	0.555556	9.000000	8.800000	0.273861	0.075000
orthogroup_548	3	9	1	0.111111	15.000000	15.000000		
orthogroup_548	4	9	1	0.111111	8.000000	8.000000		
orthogroup_548	5	9	0	0.000000				
orthogroup_548	6	9	0	0.000000				
orthogroup_551	1	9	0	0.000000				
orthogroup_551	2	9	0	0.000000				
orthogroup_551	3	9	0	0.000000				
orthogroup_551	4	9	0	0.000000				
orthogroup_554	1	9	1	0.111111	-60.000000	-60.000000		
orthogroup_554	2	9	0	0.000000				
orthogroup_554	3	9	0	0.000000				
orthogroup_554	4	9	0	0.000000				
orthogroup_554	5	9	1	0.111111	-23.000000	-23.000000		
orthogroup_554	6	9	0	0.000000				
orthogroup_554	7	9	0	0.000000				
orthogroup_554	8	9	0	0.000000				
